CMDLINE /opt/anaconda3/envs/classifier/bin/python3.11 prot2.py
MEM 3675.937500 1747316986.9360
MEM 3636.921875 1747316987.0489
MEM 3604.046875 1747316987.1646
MEM 3603.328125 1747316987.2770
MEM 3579.734375 1747316987.3948
MEM 3683.203125 1747316987.5087
MEM 3728.421875 1747316987.6252
MEM 3752.343750 1747316987.7403
MEM 3738.031250 1747316987.8518
MEM 3737.562500 1747316987.9727
MEM 3740.625000 1747316988.0902
MEM 3752.843750 1747316988.2071
MEM 3786.000000 1747316988.3221
MEM 3681.921875 1747316988.4531
MEM 3599.125000 1747316988.5695
MEM 3559.093750 1747316988.6806
MEM 3542.359375 1747316988.7907
MEM 3525.984375 1747316988.9037
MEM 3535.515625 1747316989.0180
MEM 3515.765625 1747316989.1337
MEM 3363.203125 1747316989.2513
MEM 3376.093750 1747316989.3671
MEM 3266.281250 1747316989.4795
MEM 3270.046875 1747316989.5941
MEM 3267.734375 1747316989.7072
MEM 3320.031250 1747316989.8162
MEM 3375.593750 1747316989.9326
MEM 3391.734375 1747316990.0512
MEM 3374.609375 1747316990.1620
MEM 3397.515625 1747316990.2786
MEM 3381.531250 1747316990.3957
MEM 3385.000000 1747316990.5112
MEM 3478.609375 1747316990.6211
MEM 3544.625000 1747316990.7362
MEM 3550.390625 1747316990.8578
MEM 3519.703125 1747316990.9667
MEM 3537.421875 1747316991.0780
MEM 3562.750000 1747316991.1931
MEM 3526.062500 1747316991.3075
MEM 3552.781250 1747316991.4226
MEM 3579.203125 1747316991.5371
MEM 3600.781250 1747316991.6551
MEM 3623.171875 1747316991.7703
MEM 3596.296875 1747316991.8909
MEM 3570.937500 1747316992.0066
MEM 3548.671875 1747316992.1205
MEM 3514.468750 1747316992.2364
MEM 3511.312500 1747316992.3495
MEM 3405.703125 1747316992.4661
MEM 3373.312500 1747316992.5840
MEM 3403.375000 1747316992.6934
MEM 3381.109375 1747316992.8114
MEM 3392.609375 1747316992.9180
MEM 3375.062500 1747316993.0393
MEM 3349.890625 1747316993.1583
MEM 3355.046875 1747316993.2718
MEM 3345.578125 1747316993.3851
MEM 3354.687500 1747316993.5008
MEM 3422.187500 1747316993.6135
MEM 3405.703125 1747316993.7300
MEM 3406.921875 1747316993.8437
MEM 3443.031250 1747316993.9657
MEM 3454.250000 1747316994.0792
MEM 3441.609375 1747316994.1888
MEM 3449.140625 1747316994.3084
MEM 3441.250000 1747316994.4256
MEM 3454.187500 1747316994.5430
MEM 3339.625000 1747316994.6637
MEM 3355.937500 1747316994.7806
MEM 3269.421875 1747316994.9787
MEM 3042.718750 1747316995.1267
MEM 2863.406250 1747316995.2841
MEM 2834.156250 1747316995.3998
MEM 2967.109375 1747316995.5144
MEM 3026.812500 1747316995.6275
MEM 3097.187500 1747316995.7354
MEM 3155.875000 1747316995.8488
MEM 3212.234375 1747316995.9664
MEM 3240.328125 1747316996.0810
MEM 3251.140625 1747316996.2068
MEM 3267.187500 1747316996.3199
MEM 3274.968750 1747316996.4412
MEM 3314.375000 1747316996.5585
MEM 3208.078125 1747316996.6816
MEM 3270.937500 1747316996.8671
MEM 3289.781250 1747316996.9755
MEM 3241.015625 1747316997.0887
MEM 3208.468750 1747316997.2242
MEM 3225.812500 1747316997.3405
MEM 3252.109375 1747316997.4581
MEM 3276.812500 1747316997.5792
MEM 3232.609375 1747316997.6966
MEM 3192.218750 1747316997.8152
MEM 3187.515625 1747316997.9313
MEM 3206.765625 1747316998.0471
MEM 3210.546875 1747316998.1658
MEM 3224.859375 1747316998.2826
MEM 3163.718750 1747316998.3964
MEM 3164.312500 1747316998.5151
MEM 3064.843750 1747316998.6615
MEM 3083.265625 1747316998.7896
MEM 3154.578125 1747316998.9016
MEM 3319.328125 1747316999.0136
MEM 3346.468750 1747316999.1272
MEM 3396.734375 1747316999.2377
MEM 3432.625000 1747316999.3501
MEM 3441.937500 1747316999.4654
MEM 3430.765625 1747316999.5841
MEM 3405.593750 1747316999.6994
MEM 3415.625000 1747316999.8183
MEM 3433.312500 1747316999.9296
MEM 3458.046875 1747317000.0513
MEM 3479.453125 1747317000.1666
MEM 3487.406250 1747317000.2805
MEM 3503.265625 1747317000.3924
MEM 3482.906250 1747317000.5078
MEM 3496.859375 1747317000.6251
MEM 3504.687500 1747317000.7400
MEM 3476.828125 1747317000.8603
MEM 3514.828125 1747317000.9759
MEM 3344.500000 1747317001.1463
MEM 3376.187500 1747317001.2545
MEM 3299.953125 1747317001.3829
MEM 3300.531250 1747317001.4997
MEM 3332.437500 1747317001.6330
MEM 3347.078125 1747317001.7470
MEM 3424.250000 1747317001.8623
MEM 3444.015625 1747317001.9803
MEM 3442.796875 1747317002.0983
MEM 3437.109375 1747317002.2147
MEM 3455.250000 1747317002.3353
MEM 3425.015625 1747317002.4596
MEM 3407.718750 1747317002.5735
MEM 3418.656250 1747317002.6886
MEM 3446.484375 1747317002.8019
MEM 3542.687500 1747317002.9202
MEM 3766.406250 1747317003.0365
MEM 3770.390625 1747317003.1496
MEM 3762.593750 1747317003.2595
MEM 3804.359375 1747317003.3735
MEM 3834.140625 1747317003.4899
MEM 3834.187500 1747317003.6294
MEM 3757.406250 1747317003.7431
